megyekod;kshkod;megye;irsz;telepules;lakossag;ffi;no;tipus
3;32540;BAC;6032;Nemesnádudvar;1 816;897;919;község
3;23056;BAC;6335;Nyárlőrinc;2 351;1 169;1 182;község
3;16276;BAC;6077;Ordas;449;206;243;község
3;16939;BAC;6311;Orgovány;3 463;1 665;1 798;község
3;08679;BAC;6075;Öregcsertő;785;402;383;község
3;18670;BAC;6112;Páhi;1 194;600;594;község
3;02705;BAC;6113;Pálmonostora;1 849;941;908;község
3;15431;BAC;6414;Petőfiszállás;1 568;787;781;község
3;15398;BAC;6446;Pirtó;956;497;459;község
3;26310;BAC;6223;Rém;1 283;630;653;község
3;18218;BAC;6336;Soltszentimre;1 316;651;665;község
3;19530;BAC;6086;Szakmár;1 245;636;609;község
3;19947;BAC;6131;Szalkszentmárton;2 824;1 429;1 395;község
3;11794;BAC;6031;Szank;2 414;1 193;1 221;község
3;21120;BAC;6512;Szentkirály;1 929;978;951;község
3;28820;BAC;6224;Szeremle;1 411;703;708;község
3;25432;BAC;6098;Tabdi;1 094;545;549;község
3;20525;BAC;6451;Tass;2 969;1 481;1 488;község
3;14544;BAC;6236;Tataháza;1 170;549;621;község
3;24998;BAC;6064;Tázlár;1 730;864;866;község
3;14094;BAC;6321;Tiszaug;937;461;476;község
3;08785;BAC;6337;Újsolt;193;101;92;község
3;33604;BAC;6332;Újtelek;384;185;199;község
3;16294;BAC;6033;Uszód;951;457;494;község
3;10667;BAC;6521;Városföld;2 287;1 101;1 186;község
3;28343;BAC;6411;Vaskút;3 470;1 649;1 821;község
2;19415;BAR;7754;Pécs;148 030;68 867;79 163;megye székhely
2;33154;BAR;7815;Bóly;3 772;1 837;1 935;város
2;21528;BAR;7300;Harkány;4 762;2 286;2 476;város
2;26408;BAR;7761;Komló;24 886;11 904;12 982;város
2;06336;BAR;7342;Kozármisleny;6 434;3 170;3 264;város
2;06813;BAR;7700;Mágocs;2 313;1 154;1 159;város
2;23959;BAR;7720;Mohács;18 756;8 900;9 856;város
2;10825;BAR;7370;Pécsvárad;4 007;1 932;2 075;város
2;32160;BAR;7960;Sásd;3 051;1 484;1 567;város
2;28741;BAR;7800;Sellye;2 736;1 341;1 395;város
2;05519;BAR;7940;Siklós;9 730;4 539;5 191;város
2;15866;BAR;7900;Szentlőrinc;6 520;3 111;3 409;város
2;26578;BAR;7773;Szigetvár;10 450;4 922;5 528;város
2;28024;BAR;7827;Villány;2 307;1 111;1 196;város
2;31927;BAR;7349;Beremend;2 441;1 193;1 248;nagyközség
2;33765;BAR;7838;Szászvár;2 339;1 158;1 181;nagyközség
2;28538;BAR;7678;Vajszló;1 779;856;923;nagyközség
2;12548;BAR;7841;Abaliget;706;365;341;község
2;06868;BAR;7381;Adorjás;205;106;99;község
2;25812;BAR;7934;Ág;188;100;88;község
2;13329;BAR;7932;Almamellék;448;213;235;község
2;20376;BAR;7345;Almáskeresztúr;79;41;38;község
2;17385;BAR;7826;Alsómocsolád;320;156;164;község
2;33279;BAR;7720;Alsószentmárton;1 259;664;595;község
2;27298;BAR;7671;Apátvarasd;133;67;66;község
2;06886;BAR;7763;Aranyosgadány;363;189;174;község
2;28583;BAR;7757;Áta;194;99;95;község
2;05403;BAR;7814;Babarc;732;351;381;község
2;09663;BAR;7393;Babarcszőlős;107;59;48;község
2;22275;BAR;7675;Bakóca;305;151;154;község
2;08299;BAR;7834;Bakonya;388;194;194;község
2;03975;BAR;7914;Baksa;809;393;416;község
2;07603;BAR;7711;Bánfa;196;90;106;község
2;24378;BAR;7841;Bár;559;279;280;község
2;20464;BAR;7384;Baranyahídvég;199;111;88;község
2;24749;BAR;7383;Baranyajenő;465;222;243;község
2;05485;BAR;7923;Baranyaszentgyörgy;139;72;67;község
2;15495;BAR;7747;Basal;212;111;101;község
2;19008;BAR;7664;Belvárdgyula;415;209;206;község
2;16461;BAR;7838;Berkesd;892;451;441;község
2;30049;BAR;7782;Besence;122;72;50;község
2;14119;BAR;7671;Bezedek;238;118;120;község
2;13310;BAR;7346;Bicsérd;1 060;530;530;község
2;04899;BAR;7747;Bikal;715;359;356;község
2;05139;BAR;7811;Birján;529;254;275;község
2;24925;BAR;7672;Bisse;234;119;115;község
2;20899;BAR;7394;Boda;431;217;214;község
2;33002;BAR;7742;Bodolyabér;241;121;120;község
2;32151;BAR;7836;Bogád;1 140;562;578;község
2;21892;BAR;7966;Bogádmindszent;448;229;219;község
2;10694;BAR;7937;Bogdása;264;128;136;község
2;13116;BAR;7756;Boldogasszonyfa;429;224;205;község
2;06725;BAR;7811;Borjád;431;229;202;község
2;14368;BAR;7900;Bosta;145;73;72;község
2;13365;BAR;7682;Botykapeterd;349;183;166;község
2;23162;BAR;7973;Bükkösd;1 141;584;557;község
2;07533;BAR;7964;Bürüs;94;48;46;község
2;19901;BAR;7811;Csányoszró;631;318;313;község
2;30614;BAR;7935;Csarnóta;143;71;72;község
2;21591;BAR;7683;Csebény;101;52;49;község
2;26082;BAR;7673;Cserdi;401;206;195;község
2;03896;BAR;7900;Cserkút;628;311;317;község
2;13851;BAR;7940;Csertő;420;203;217;község
2;22576;BAR;7843;Csonkamindszent;173;85;88;község
2;11086;BAR;7915;Cún;233;119;114;község
2;07773;BAR;7683;Dencsháza;596;309;287;község
2;11952;BAR;7817;Dinnyeberki;92;51;41;község
2;32373;BAR;7849;Diósviszló;706;353;353;község
2;28617;BAR;7846;Drávacsehi;189;94;95;község
2;28121;BAR;7967;Drávacsepely;213;111;102;község
2;17419;BAR;7960;Drávafok;551;270;281;község
2;32391;BAR;7967;Drávaiványi;194;98;96;község
2;09159;BAR;7850;Drávakeresztúr;134;69;65;község
2;22734;BAR;7843;Drávapalkonya;272;144;128;község
2;12380;BAR;7851;Drávapiski;86;47;39;község
2;28608;BAR;7847;Drávaszabolcs;684;350;334;község
2;30030;BAR;7960;Drávaszerdahely;182;92;90;község
2;21698;BAR;7712;Drávasztára;423;210;213;község
2;09186;BAR;7763;Dunaszekcső;1 892;945;947;község
2;28918;BAR;7824;Egerág;1 008;508;500;község
2;16498;BAR;7347;Egyházasharaszti;337;162;175;község
2;27401;BAR;7744;Egyházaskozár;746;356;390;község
2;06099;BAR;7973;Ellend;236;113;123;község
2;28273;BAR;7735;Endrőc;346;185;161;község
2;25821;BAR;7723;Erdősmárok;94;55;39;község
2;18704;BAR;7661;Erdősmecske;359;177;182;község
2;13499;BAR;7732;Erzsébet;304;157;147;község
2;17835;BAR;7724;Fazekasboda;206;103;103;község
2;04543;BAR;7370;Feked;215;114;101;község
2;13286;BAR;7968;Felsőegerszeg;130;59;71;község
2;08819;BAR;7812;Felsőszentmárton;861;404;457;község
2;07560;BAR;7951;Garé;302;161;141;község
2;12751;BAR;7362;Gerde;568;277;291;község
2;13347;BAR;7733;Gerényes;263;135;128;község
2;02857;BAR;7954;Geresdlak;787;374;413;község
2;18333;BAR;7853;Gilvánfa;389;203;186;község
2;33084;BAR;7385;Gordisa;297;149;148;község
2;33233;BAR;7833;Gödre;849;433;416;község
2;30438;BAR;7728;Görcsöny;1 546;730;816;község
2;09636;BAR;7668;Görcsönydoboka;386;193;193;község
2;18315;BAR;7954;Gyód;725;366;359;község
2;28404;BAR;7972;Gyöngyfa;153;80;73;község
2;22664;BAR;7745;Gyöngyösmellék;316;162;154;község
2;27881;BAR;7348;Hásságy;303;144;159;község
2;30951;BAR;7837;Hegyhátmaróc;154;76;78;község
2;21023;BAR;7683;Hegyszentmárton;411;204;207;község
2;17190;BAR;7681;Helesfa;482;248;234;község
2;07126;BAR;7696;Hetvehely;471;231;240;község
2;06798;BAR;7735;Hidas;2 107;1 034;1 073;község
2;27933;BAR;7838;Himesháza;1 033;486;547;község
2;03285;BAR;7971;Hirics;271;145;126;község
2;33932;BAR;7716;Hobol;960;462;498;község
2;29966;BAR;7935;Homorúd;559;273;286;község
2;23074;BAR;7694;Horváthertelend;61;31;30;község
2;30836;BAR;7678;Hosszúhetény;3 464;1 730;1 734;község
2;31431;BAR;7935;Husztót;68;33;35;község
2;33066;BAR;7775;Ibafa;233;122;111;község
2;31936;BAR;7847;Illocska;261;136;125;község
2;29948;BAR;7772;Ipacsfa;201;99;102;község
2;03337;BAR;7781;Ivánbattyán;121;56;65;község
2;03346;BAR;7940;Ivándárda;247;119;128;község
2;06415;BAR;7333;Kákics;210;107;103;község
2;05999;BAR;7827;Kárász;339;157;182;község
2;17464;BAR;7914;Kásád;304;148;156;község
2;06965;BAR;7661;Katádfa;164;78;86;község
2;19132;BAR;7661;Kátoly;301;147;154;község
2;16805;BAR;7843;Kékesd;182;97;85;község
2;10542;BAR;7839;Kémes;474;239;235;község
2;06789;BAR;7668;Kemse;63;36;27;község
2;03832;BAR;7975;Keszü;1 385;687;698;község
2;08572;BAR;7953;Kétújfalu;710;357;353;község
2;20552;BAR;7954;Királyegyháza;945;485;460;község
2;18908;BAR;7391;Kisasszonyfa;213;109;104;község
2;05722;BAR;7756;Kisbeszterce;84;48;36;község
2;22868;BAR;7814;Kisbudmér;112;65;47;község
2;11183;BAR;7985;Kisdér;119;59;60;község
2;33905;BAR;7391;Kisdobsza;258;131;127;község
2;06831;BAR;7800;Kishajmás;214;111;103;község
2;27021;BAR;7763;Kisharsány;507;250;257;község
2;16975;BAR;7773;Kisherend;215;114;101;község
2;12849;BAR;7766;Kisjakabfalva;129;75;54;község
2;19910;BAR;7775;Kiskassa;254;126;128;község
2;21616;BAR;7759;Kislippó;300;151;149;község
2;33215;BAR;7841;Kisnyárád;183;98;85;község
2;08651;BAR;7981;Kisszentmárton;275;136;139;község
2;12353;BAR;7823;Kistamási;134;59;75;község
2;03151;BAR;7768;Kistapolca;201;101;100;község
2;10746;BAR;7381;Kistótfalu;307;160;147;község
2;09548;BAR;7841;Kisvaszar;366;196;170;község
2;08110;BAR;7847;Kórós;224;119;105;község
2;24226;BAR;7678;Kovácshida;277;134;143;község
2;14517;BAR;7334;Kovácsszénája;89;49;40;község
2;25247;BAR;7639;Köblény;224;107;117;község
2;03540;BAR;7717;Kökény;685;345;340;község
2;17899;BAR;7673;Kölked;1 063;520;543;község
2;15538;BAR;7675;Kővágószőlős;1 357;663;694;község
2;06992;BAR;7759;Kővágótöttös;355;162;193;község
2;33330;BAR;7775;Lánycsók;2 529;1 255;1 274;község
2;06479;BAR;7331;Lapáncsa;181;95;86;község
2;17604;BAR;7781;Liget;413;213;200;község
2;22974;BAR;7757;Lippó;510;257;253;község
2;10038;BAR;7761;Liptód;217;102;115;község
2;31389;BAR;7720;Lothárd;260;131;129;község
2;24624;BAR;7838;Lovászhetény;308;158;150;község
2;18865;BAR;7775;Lúzsok;238;122;116;község
2;25177;BAR;7332;Magyarbóly;936;444;492;község
2;29753;BAR;7394;Magyaregregy;759;355;404;község
2;05430;BAR;7925;Magyarhertelend;654;330;324;község
2;23542;BAR;7954;Magyarlukafa;90;46;44;község
2;05412;BAR;7761;Magyarmecske;351;164;187;község
2;27067;BAR;7396;Magyarsarlós;296;145;151;község
2;22600;BAR;7954;Magyarszék;1 025;498;527;község
2;04385;BAR;7783;Magyartelek;208;101;107;község
2;33923;BAR;7733;Mánfa;777;402;375;község
2;29920;BAR;7817;Maráza;191;87;104;község
2;09450;BAR;7663;Márfa;213;110;103;község
2;14483;BAR;7967;Máriakéménd;509;256;253;község
2;16443;BAR;7960;Markóc;63;31;32;község
2;15219;BAR;7774;Marócsa;81;41;40;község
2;20659;BAR;7720;Márok;428;199;229;község
2;02228;BAR;7854;Martonfa;235;110;125;község
2;15051;BAR;7351;Matty;326;153;173;község
2;33756;BAR;7695;Máza;1 228;585;643;község
2;13444;BAR;7305;Mecseknádasd;1 581;751;830;község
2;11402;BAR;7344;Mecsekpölöske;419;211;208;község
2;30492;BAR;7981;Mekényes;283;142;141;község
2;07737;BAR;7370;Merenye;286;146;140;község
2;03470;BAR;7391;Meződ;118;65;53;község
2;16285;BAR;7981;Mindszentgodisa;876;424;452;község
2;29522;BAR;7751;Molvány;172;88;84;község
2;16027;BAR;7932;Monyoród;177;93;84;község
2;29540;BAR;7756;Mozsgó;947;486;461;község
2;03984;BAR;7838;Nagybudmér;167;76;91;község
2;18111;BAR;7985;Nagycsány;136;66;70;község
2;33899;BAR;7343;Nagydobsza;626;311;315;község
2;12858;BAR;7822;Nagyhajmás;339;186;153;község
2;02653;BAR;7741;Nagyharsány;1 490;726;764;község
2;10940;BAR;7784;Nagykozár;2 071;1 018;1 053;község
2;14650;BAR;7731;Nagynyárád;702;332;370;község
2;19877;BAR;7912;Nagypall;390;187;203;község
2;27164;BAR;7800;Nagypeterd;672;330;342;község
2;28927;BAR;7912;Nagytótfalu;344;172;172;község
2;14191;BAR;7981;Nagyváty;333;167;166;község
2;18236;BAR;7912;Nemeske;230;112;118;község
2;26329;BAR;7695;Nyugotszenterzsébet;258;132;126;község
2;12645;BAR;7814;Óbánya;152;73;79;község
2;03780;BAR;7695;Ócsárd;417;215;202;község
2;20686;BAR;7681;Okorág;173;90;83;község
2;08341;BAR;7745;Okorvölgy;78;42;36;község
2;18555;BAR;7825;Olasz;633;303;330;község
2;11730;BAR;7370;Orfű;1 082;543;539;község
2;04482;BAR;7836;Oroszló;302;152;150;község
2;18661;BAR;7370;Ózdfalu;156;89;67;község
2;23764;BAR;7771;Palé;104;56;48;község
2;07153;BAR;7727;Palkonya;281;143;138;község
2;10135;BAR;7838;Palotabozsok;866;428;438;község
2;07010;BAR;7923;Páprád;159;73;86;község
2;17792;BAR;7951;Patapoklosi;368;191;177;község
2;21519;BAR;7766;Pécsbagota;104;61;43;község
2;15389;BAR;7762;Pécsdevecser;118;49;69;község
2;21096;BAR;7831;Pécsudvard;814;416;398;község
2;16115;BAR;7664;Pellérd;2 309;1 169;1 140;község
2;12867;BAR;7766;Pereked;161;86;75;község
2;32425;BAR;7980;Peterd;221;115;106;község
2;29762;BAR;7838;Pettend;158;76;82;község
2;23506;BAR;7756;Piskó;256;138;118;község
2;22266;BAR;7666;Pócsa;176;90;86;község
2;17242;BAR;7817;Pogány;1 287;630;657;község
2;11518;BAR;7833;Rádfalva;213;101;112;község
2;25292;BAR;7743;Regenye;170;87;83;község
2;24855;BAR;7914;Romonya;538;267;271;község
2;04516;BAR;7841;Rózsafa;359;167;192;község
2;18050;BAR;7781;Sámod;203;91;112;község
2;20862;BAR;7785;Sárok;125;64;61;község
2;33482;BAR;7814;Sátorhely;648;315;333;község
2;23205;BAR;7823;Siklósbodony;165;83;82;község
2;08800;BAR;7728;Siklósnagyfalu;487;240;247;község
2;23472;BAR;7922;Somberek;1 466;687;779;község
2;23807;BAR;7925;Somogyapáti;500;248;252;község
2;29142;BAR;7921;Somogyhárságy;444;220;224;község
2;25070;BAR;7924;Somogyhatvan;364;192;172;község
2;21281;BAR;7960;Somogyviszló;251;123;128;község
2;31714;BAR;7960;Sósvertike;173;91;82;község
2;02547;BAR;7951;Sumony;483;238;245;község
2;15079;BAR;7383;Szabadszentkirály;812;395;417;község
2;27508;BAR;7753;Szágy;124;67;57;község
2;08475;BAR;7811;Szajk;827;406;421;község
2;22257;BAR;7334;Szalánta;1 176;564;612;község
2;09007;BAR;7843;Szalatnak;330;161;169;község
2;34032;BAR;7188;Szaporca;236;116;120;község
2;07366;BAR;7813;Szárász;40;23;17;község
2;31060;BAR;7725;Szava;345;170;175;község
2;03018;BAR;7751;Szebény;355;174;181;község
2;05607;BAR;7737;Szederkény;1 722;815;907;község
2;16771;BAR;7661;Székelyszabar;575;282;293;község
2;16984;BAR;7763;Szellő;142;66;76;község
2;09308;BAR;7913;Szemely;480;231;249;község
2;32009;BAR;7915;Szentdénes;315;161;154;község
2;33613;BAR;7681;Szentegát;388;190;198;község
2;09803;BAR;7936;Szentkatalin;112;57;55;község
2;16355;BAR;7664;Szentlászló;848;404;444;község
2;19831;BAR;7811;Szilágy;271;139;132;község
2;24712;BAR;7833;Szilvás;148;71;77;község
2;22211;BAR;7763;Szőke;135;68;67;község
2;07694;BAR;7976;Szőkéd;370;177;193;község
2;05528;BAR;7932;Szörény;73;41;32;község
2;15404;BAR;7735;Szulimán;253;134;119;község
2;11217;BAR;7362;Szűr;265;125;140;község
2;15635;BAR;7381;Tarrós;102;44;58;község
2;27702;BAR;7973;Tékes;247;131;116;község
2;32072;BAR;7834;Teklafalu;323;152;171;község
2;13675;BAR;7843;Tengeri;53;27;26;község
2;32744;BAR;7834;Tésenfa;211;102;109;község
2;20978;BAR;7348;Téseny;339;179;160;község
2;04048;BAR;7383;Tófű;130;66;64;község
2;22424;BAR;7981;Tormás;291;160;131;község
2;26994;BAR;7755;Tótszentgyörgy;144;78;66;község
2;04136;BAR;7811;Töttös;565;289;276;község
2;18582;BAR;7718;Túrony;268;133;135;község
2;04437;BAR;7766;Udvar;136;62;74;község
2;06062;BAR;7973;Újpetre;1 032;523;509;község
2;08138;BAR;7370;Várad;129;69;60;község
2;28529;BAR;7926;Varga;87;43;44;község
2;24952;BAR;7362;Vásárosbéc;218;117;101;község
2;02264;BAR;7370;Vásárosdombó;1 132;552;580;község
2;07074;BAR;7838;Vázsnok;132;73;59;község
2;18519;BAR;7333;Vejti;157;81;76;község
2;24402;BAR;7951;Vékény;148;85;63;község
2;22071;BAR;7726;Velény;138;75;63;község
2;20279;BAR;7752;Véménd;1 430;715;715;község
2;19725;BAR;7772;Versend;969;467;502;község
2;05209;BAR;7768;Villánykövesd;264;128;136;község
2;05892;BAR;7976;Vokány;845;420;425;község
2;17747;BAR;7839;Zádor;343;166;177;község
2;25122;BAR;7720;Zaláta;251;124;127;község
2;15848;BAR;7671;Zengővárkony;433;213;220;község
2;12201;BAR;5600;Zók;300;141;159;község
4;15200;BEK;5830;Békéscsaba;59 542;27 887;31 655;megye székhely
4;18102;BEK;5630;Battonya;5 955;2 938;3 017;város
4;09760;BEK;5920;Békés;19 444;9 460;9 984;város
4;26709;BEK;5510;Csorvás;4 906;2 360;2 546;város
4;24819;BEK;5742;Dévaványa;7 537;3 742;3 795;város
4;32957;BEK;5525;Elek;4 816;2 342;2 474;város
4;33455;BEK;5700;Gyomaendrőd;13 514;6 508;7 006;város
4;05032;BEK;5553;Gyula;30 501;14 497;16 004;város
4;10287;BEK;5516;Kondoros;4 972;2 386;2 586;város
4;11615;BEK;5752;Körösladány;4 538;2 208;2 330;város
4;30128;BEK;5650;Medgyesegyháza;3 569;1 732;1 837;város
4;19628;BEK;5820;Mezőberény;10 280;4 927;5 353;város
4;11873;BEK;5800;Mezőhegyes;5 090;2 490;2 600;város
4;30322;BEK;5900;Mezőkovácsháza;5 847;2 772;3 075;város
4;23065;BEK;5720;Orosháza;28 647;13 732;14 915;város
4;28565;BEK;5540;Sarkad;10 198;4 930;5 268;város
4;23870;BEK;5520;Szarvas;15 887;7 658;8 229;város
4;21883;BEK;5940;Szeghalom;8 933;4 445;4 488;város
4;16434;BEK;5661;Tótkomlós;5 839;2 827;3 012;város
4;02352;BEK;5530;Újkígyós;5 103;2 494;2 609;város
4;29531;BEK;5561;Vésztő;6 983;3 514;3 469;város
4;02680;BEK;5551;Békésszentandrás;3 658;1 835;1 823;nagyközség
4;31334;BEK;5624;Csabacsűd;1 744;859;885;nagyközség
4;33190;BEK;5836;Doboz;4 245;2 061;2 184;nagyközség
4;24031;BEK;5932;Dombegyház;2 100;1 022;1 078;nagyközség
4;09511;BEK;5741;Gádoros;3 679;1 814;1 865;nagyközség
4;03461;BEK;5744;Kétegyháza;3 678;1 768;1 910;nagyközség
4;31574;BEK;5931;Kevermes;1 883;931;952;nagyközség
4;08244;BEK;5747;Nagyszénás;4 863;2 367;2 496;nagyközség
4;29595;BEK;5946;Almáskamarás;870;444;426;község
4;26189;BEK;5643;Békéssámson;2 413;1 213;1 200;község
4;19390;BEK;5538;Bélmegyer;969;498;471;község
4;29610;BEK;5527;Biharugra;918;454;464;község
4;34078;BEK;5662;Csabaszabadi;291;160;131;község
4;20455;BEK;5621;Csanádapáca;2 581;1 256;1 325;község
4;25502;BEK;5745;Csárdaszállás;431;218;213;község
4;22132;BEK;5515;Dombiratos;572;275;297;község
4;09432;BEK;5925;Ecsegfalva;1 227;627;600;község
4;07393;BEK;5734;Gerendás;1 240;600;640;község
4;17394;BEK;5555;Geszt;793;384;409;község
4;33297;BEK;5673;Hunya;621;295;326;község
4;04279;BEK;5552;Kamut;1 070;518;552;község
4;24794;BEK;5945;Kardos;567;290;277;község
4;12177;BEK;5948;Kardoskút;819;398;421;község
4;22752;BEK;5526;Kaszaper;1 847;888;959;község
4;12618;BEK;5674;Kertészsziget;384;203;181;község
4;03106;BEK;5837;Kétsoprony;1 380;704;676;község
4;18838;BEK;5539;Kisdombegyház;503;254;249;község
4;10764;BEK;5622;Körösnagyharsány;595;295;300;község
4;12900;BEK;5536;Köröstarcsa;2 505;1 236;1 269;község
4;30164;BEK;5725;Körösújfalu;512;253;259;község
4;06804;BEK;5746;Kötegyán;1 452;723;729;község
4;16045;BEK;5743;Kunágota;2 743;1 364;1 379;község
4;21209;BEK;5667;Lőkösháza;1 832;898;934;község
4;27906;BEK;5838;Magyarbánhegyes;2 225;1 110;1 115;község
4;11536;BEK;5663;Magyardombegyház;241;126;115;község
4;20765;BEK;5726;Medgyesbodzás;1 017;531;486;község
4;23931;BEK;5732;Méhkerék;2 112;1 057;1 055;község
4;04206;BEK;5672;Mezőgyán;1 056;522;534;község
4;11989;BEK;5668;Murony;1 230;613;617;község
4;26028;BEK;5751;Nagybánhegyes;1 271;614;657;község
4;04242;BEK;5534;Nagykamarás;1 344;635;709;község
4;19257;BEK;5556;Okány;2 493;1 225;1 268;község
4;27438;BEK;5919;Örménykút;350;180;170;község
4;05397;BEK;5665;Pusztaföldvár;1 656;823;833;község
4;19594;BEK;5731;Pusztaottlaka;370;192;178;község
4;25168;BEK;5712;Sarkadkeresztúr;1 508;726;782;község
4;31325;BEK;5641;Szabadkígyós;2 637;1 300;1 337;község
4;33075;BEK;5675;Tarhos;812;381;431;község
4;12681;BEK;5727;Telekgerendás;1 517;751;766;község
4;24350;BEK;5811;Újszalonta;102;59;43;község
4;31228;BEK;5537;Végegyháza;1 330;664;666;község
5;30456;BOR;3881;Miskolc;159 265;74 606;84 659;megye székhely
5;03595;BOR;3571;Abaújszántó;2 986;1 493;1 493;város
5;05315;BOR;3973;Borsodnádasd;3 131;1 541;1 590;város
5;10728;BOR;3432;Edelény;9 864;4 803;5 061;város
5;04677;BOR;3860;Emőd;4 999;2 464;2 535;város
